Nombre,Estatus,Diferencia,Tiempo
"VALMEX",false,N/A,23/03/2026 05:16:47
"VALUE",true,0 min,23/03/2026 05:16:47
"VE POR MAS",true,0 min,23/03/2026 05:16:47
"VOLKSWAGEN",true,0 min,23/03/2026 05:16:47
"albo",true,0 min,23/03/2026 05:16:47
"ACTINVER",true,0 min,23/03/2026 05:33:38
"AFIRME",true,0 min,23/03/2026 05:33:38
"ARCUS FI",true,0 min,23/03/2026 05:33:38
"ASP INTEGRA OPC",true,0 min,23/03/2026 05:33:38
"AZTECA",true,0 min,23/03/2026 05:33:38
"BAJIO",true,0 min,23/03/2026 05:33:38
"BANAMEX",true,0 min,23/03/2026 05:33:38
"BANCO COVALTO",true,0 min,23/03/2026 05:33:38
"BANCO S3",true,0 min,23/03/2026 05:33:38
"BANCOMEXT",false,N/A,23/03/2026 05:33:38
"BANCOPPEL",true,0 min,23/03/2026 05:33:38
"BANCREA",true,0 min,23/03/2026 05:33:38
"BANJERCITO",true,0 min,23/03/2026 05:33:38
"BANK OF AMERICA",true,0 min,23/03/2026 05:33:38
"BANK OF CHINA",false,N/A,23/03/2026 05:33:38
"BANKAOOL",true,0 min,23/03/2026 05:33:38
"BANOBRAS",true,0 min,23/03/2026 05:33:38
"BANORTE",true,0 min,23/03/2026 05:33:38
"BANREGIO",true,0 min,23/03/2026 05:33:38
"BANSI",true,0 min,23/03/2026 05:33:38
"BANXICO",true,0 min,23/03/2026 05:33:38
"BARCLAYS",true,0 min,23/03/2026 05:33:38
"BBASE",true,0 min,23/03/2026 05:33:38
"BBVA MEXICO",true,0 min,23/03/2026 05:33:38
"BMONEX",true,0 min,23/03/2026 05:33:38
"BaBien",true,0 min,23/03/2026 05:33:38
"CAJA POP MEXICA",true,0 min,23/03/2026 05:33:38
"CAJA TELEFONIST",false,N/A,23/03/2026 05:33:38
"CASHI CUENTA",true,0 min,23/03/2026 05:33:38
"CI BOLSA",true,0 min,23/03/2026 05:33:38
"CITI MEXICO",true,0 min,23/03/2026 05:33:38
"CLS",true,0 min,23/03/2026 05:33:38
"COMPARTAMOS",true,0 min,23/03/2026 05:33:38
"CONSUBANCO",true,0 min,23/03/2026 05:33:38
"COOPDESARROLLO",false,3570 min,23/03/2026 05:33:38
"CREDICAPITAL",true,0 min,23/03/2026 05:33:38
"CREDICLUB",true,0 min,23/03/2026 05:33:38
"CRISTOBAL COLON",false,N/A,23/03/2026 05:33:38
"CoDi Valida",true,0 min,23/03/2026 05:33:38
"Cuenca",true,0 min,23/03/2026 05:33:38
"DONDE",true,0 min,23/03/2026 05:33:38
"Dep y Pag Dig",true,0 min,23/03/2026 05:33:38
"FINAMEX",false,N/A,23/03/2026 05:33:38
"FINCO PAY",true,0 min,23/03/2026 05:33:38
"FINCOMUN",true,0 min,23/03/2026 05:33:38
"FINTOC",true,0 min,23/03/2026 05:33:38
"FONDEADORA",true,0 min,23/03/2026 05:33:38
"FONDO (FIRA)",false,N/A,23/03/2026 05:33:38
"GBM",true,0 min,23/03/2026 05:33:38
"HEY BANCO",true,0 min,23/03/2026 05:33:38
"HIPOTECARIA FED",false,N/A,23/03/2026 05:33:38
"HSBC",true,0 min,23/03/2026 05:33:38
"ICBC",false,N/A,23/03/2026 05:33:38
"INBURSA",true,0 min,23/03/2026 05:33:38
"INDEVAL",false,1280 min,23/03/2026 05:33:38
"INMOBILIARIO",true,0 min,23/03/2026 05:33:38
"INTERCAM BANCO",true,0 min,23/03/2026 05:33:38
"INVEX",true,0 min,23/03/2026 05:33:38
"JP MORGAN",true,0 min,23/03/2026 05:33:38
"KAPITAL",true,0 min,23/03/2026 05:33:38
"KLAR",true,0 min,23/03/2026 05:33:38
"KUSPIT",true,0 min,23/03/2026 05:33:38
"LIBERTAD",true,0 min,23/03/2026 05:33:38
"MASARI",false,N/A,23/03/2026 05:33:38
"MIFEL",true,0 min,23/03/2026 05:33:38
"MIZUHO BANK",false,N/A,23/03/2026 05:33:38
"MONEXCB",true,0 min,23/03/2026 05:33:38
"MUFG",false,N/A,23/03/2026 05:33:38
"MULTIVA BANCO",true,0 min,23/03/2026 05:33:38
"Mercado Pago W",true,0 min,23/03/2026 05:33:38
"MexPago",true,0 min,23/03/2026 05:33:38
"NAFIN",false,N/A,23/03/2026 05:33:38
"NU MEXICO",true,0 min,23/03/2026 05:33:38
"NVIO",true,0 min,23/03/2026 05:33:38
"PAGATODO",true,0 min,23/03/2026 05:33:38
"PROFUTURO",false,N/A,23/03/2026 05:33:38
"Peibo",true,0 min,23/03/2026 05:33:38
"SABADELL",true,0 min,23/03/2026 05:33:38
"SANTANDER",true,0 min,23/03/2026 05:33:38
"SCOTIABANK",true,0 min,23/03/2026 05:33:38
"SHINHAN",false,N/A,23/03/2026 05:33:38
"SPIN BY OXXO",true,0 min,23/03/2026 05:33:38
"STP",true,0 min,23/03/2026 05:33:38
"Swap",true,0 min,23/03/2026 05:33:38
"TESORED",true,0 min,23/03/2026 05:33:38
"TRANSFER",true,0 min,23/03/2026 05:33:38
"TRANSFER DIRECT",true,0 min,23/03/2026 05:33:38
"UALA",true,0 min,23/03/2026 05:33:38
"UNAGRA",true,0 min,23/03/2026 05:33:38
"VALMEX",false,N/A,23/03/2026 05:33:38
"VALUE",true,0 min,23/03/2026 05:33:38
"VE POR MAS",true,0 min,23/03/2026 05:33:38
"VOLKSWAGEN",true,0 min,23/03/2026 05:33:38
"albo",true,0 min,23/03/2026 05:33:38
"ACTINVER",true,0 min,23/03/2026 08:16:46
"AFIRME",true,0 min,23/03/2026 08:16:46
"ARCUS FI",true,0 min,23/03/2026 08:16:46
"ASP INTEGRA OPC",true,0 min,23/03/2026 08:16:46
"AZTECA",true,0 min,23/03/2026 08:16:46
"BAJIO",true,0 min,23/03/2026 08:16:46
"BANAMEX",true,0 min,23/03/2026 08:16:46
"BANCO COVALTO",true,0 min,23/03/2026 08:16:46
"BANCO S3",true,0 min,23/03/2026 08:16:46
"BANCOMEXT",true,0 min,23/03/2026 08:16:46
"BANCOPPEL",true,0 min,23/03/2026 08:16:46
"BANCREA",true,0 min,23/03/2026 08:16:46
"BANJERCITO",true,0 min,23/03/2026 08:16:46
"BANK OF AMERICA",true,0 min,23/03/2026 08:16:46
"BANK OF CHINA",true,0 min,23/03/2026 08:16:46
"BANKAOOL",true,0 min,23/03/2026 08:16:46
"BANOBRAS",true,0 min,23/03/2026 08:16:46
"BANORTE",true,0 min,23/03/2026 08:16:46
"BANREGIO",true,0 min,23/03/2026 08:16:46
"BANSI",true,0 min,23/03/2026 08:16:46
"BANXICO",true,0 min,23/03/2026 08:16:46
"BARCLAYS",true,0 min,23/03/2026 08:16:46
"BBASE",true,0 min,23/03/2026 08:16:46
"BBVA MEXICO",true,0 min,23/03/2026 08:16:46
"BMONEX",true,0 min,23/03/2026 08:16:46
"BaBien",true,0 min,23/03/2026 08:16:46
"CAJA POP MEXICA",true,0 min,23/03/2026 08:16:46
"CAJA TELEFONIST",false,N/A,23/03/2026 08:16:46
"CASHI CUENTA",true,0 min,23/03/2026 08:16:46
"CI BOLSA",true,0 min,23/03/2026 08:16:46
"CITI MEXICO",true,0 min,23/03/2026 08:16:46
"CLS",true,0 min,23/03/2026 08:16:46
"COMPARTAMOS",true,0 min,23/03/2026 08:16:46
"CONSUBANCO",true,0 min,23/03/2026 08:16:46
